id,gameweek,home_team,away_team,home_team_code,away_team_code,venue,kickoff_time,home_score,away_score,result,status,created_at
8c95fc26-bc6a-41bd-a961-eaedb3295a71,31,Newcastle,Sunderland,NEW,SUN,,2026-03-22 12:00:00+00,1,2,A,finished,2026-04-30 02:51:51.995958+00
d954e81d-2e97-403a-add3-39c0b4ddce49,31,Leeds,Brentford,LEE,BRE,,2026-03-21 20:00:00+00,0,0,D,finished,2026-04-30 02:51:51.709672+00
c9cb43e6-84c9-4ca9-9253-53ead083079c,30,Man Utd,Aston Villa,MUN,AVL,,2026-03-15 14:00:00+00,3,1,H,finished,2026-04-30 02:51:49.421341+00
074e6deb-b233-4a02-a5fd-3adb816efca4,30,Crystal Palace,Leeds,CRY,LEE,,2026-03-15 14:00:00+00,0,0,D,finished,2026-04-30 02:51:49.148306+00
6801be94-d37b-487c-a9bd-393cdfd730fb,30,West Ham,Man City,WHU,MCI,,2026-03-14 20:00:00+00,1,1,D,finished,2026-04-30 02:51:48.859292+00
a323ceda-91bc-4553-b6c5-b4560fbd14ae,30,Sunderland,Brighton,SUN,BHA,,2026-03-14 15:00:00+00,0,1,A,finished,2026-04-30 02:51:47.946458+00
cb40662f-12ef-42a1-99a2-130c8f95f72e,30,Burnley,Bournemouth,BUR,BOU,,2026-03-14 15:00:00+00,0,0,D,finished,2026-04-30 02:51:47.664268+00
bc42eb87-fffe-4a74-8311-dbf1edd39e5b,30,Chelsea,Newcastle,CHE,NEW,,2026-03-14 17:30:00+00,0,1,A,finished,2026-04-30 02:51:48.566059+00
ecf1c9fb-5d87-4890-94c2-9b977ccba26c,30,Arsenal,Everton,ARS,EVE,,2026-03-14 17:30:00+00,2,0,H,finished,2026-04-30 02:51:48.283935+00
94aa8e70-2f79-4745-aaf4-5a6853732e3e,30,Brentford,Wolves,BRE,WOL,,2026-03-16 20:00:00+00,2,2,D,finished,2026-04-30 02:51:50.29658+00
7fe44505-95e2-4c56-b55e-5152c80d5f6b,30,Nott'm Forest,Fulham,NFO,FUL,,2026-03-15 14:00:00+00,0,0,D,finished,2026-04-30 02:51:49.70279+00
0825d92e-21b2-4b98-9f0c-2406f42e7082,30,Liverpool,Spurs,LIV,TOT,,2026-03-15 16:30:00+00,1,1,D,finished,2026-04-30 02:51:50.003207+00
91dcae32-9082-46e1-afc8-0da916f21e12,29,Fulham,West Ham,FUL,WHU,,2026-03-04 19:30:00+00,0,1,A,finished,2026-04-30 02:51:46.536968+00
0884ee26-f2cc-467a-aa54-c4dd6f4665d9,29,Brighton,Arsenal,BHA,ARS,,2026-03-04 19:30:00+00,0,1,A,finished,2026-04-30 02:51:46.248744+00
4af29c16-f4a5-495d-bd3e-285e68bdbc41,29,Man City,Nott'm Forest,MCI,NFO,,2026-03-04 19:30:00+00,2,2,D,finished,2026-04-30 02:51:46.823342+00
a8adfc87-cea1-47b1-9b2e-7b081d98ba5d,29,Wolves,Liverpool,WOL,LIV,,2026-03-03 20:15:00+00,2,1,H,finished,2026-04-30 02:51:45.643578+00
bfad8dbe-4003-42b3-93b4-eb60a5bbbc87,29,Leeds,Sunderland,LEE,SUN,,2026-03-03 19:30:00+00,0,1,A,finished,2026-04-30 02:51:45.356039+00
e89452ea-d677-44e7-9241-41c7fcf66644,29,Aston Villa,Chelsea,AVL,CHE,,2026-03-04 19:30:00+00,1,4,A,finished,2026-04-30 02:51:45.957078+00
e696cf5d-d6ba-487a-89a2-8d60637470d2,29,Newcastle,Man Utd,NEW,MUN,,2026-03-04 20:15:00+00,2,1,H,finished,2026-04-30 02:51:47.09979+00
10789872-3d57-44eb-9640-9635dc48f859,29,Bournemouth,Brentford,BOU,BRE,,2026-03-03 19:30:00+00,0,0,D,finished,2026-04-30 02:51:44.772292+00
014ffa32-c360-4898-806f-8a2e4de308b9,29,Spurs,Crystal Palace,TOT,CRY,,2026-03-05 20:00:00+00,1,3,A,finished,2026-04-30 02:51:47.386919+00
419e6744-7747-4a09-9272-412a8d5b164e,29,Everton,Burnley,EVE,BUR,,2026-03-03 19:30:00+00,2,0,H,finished,2026-04-30 02:51:45.049387+00
ab261791-79ed-4a5d-9ab1-277bf07506e5,28,Arsenal,Chelsea,ARS,CHE,,2026-03-01 16:30:00+00,2,1,H,finished,2026-04-30 02:51:44.495147+00
